id,bucket,subbucket,content_type,emotional_trigger,save_type,best_fit_template,title_example,general_trends_signal,strategy_learnings,seasonal_window,priority
K012,01. Monsoon & Seasonal Illness,Monsoon food and water safety for babies,Authority,Curiosity,Sharing,Safe or Not + Checklist,Is YOUR Baby's Food Safe in the Monsoon? The Doctor's Do and Don't List,"Food spoilage and water contamination rise in the rains, and parents search for what is safe to feed weaning babies and how to store and boil water during this season.","Your Cow Milk 'Safe or Not?' reel (94.4K) shows a clear verdict on an everyday worry gets saved and shared. A monsoon do-and-don't food list works the same, with added Indian-kitchen relevance.",July-Aug,3
K013,02. Is YOUR Baby Developing Normally?,Milestones month by month (0-12),Discovery,Fear,Sharing,Fear Hook + Checklist,Is YOUR Baby Developing Normally? The Month-by-Month Checklist,"'Baby milestones by month' is one of the highest-volume parenting searches in the world and in India, and anxiety peaks whenever a parent compares their child to another baby of the same age.",This IS your single most repeatable winner - your 'Is YOUR Baby Developing Normally?' reel reached 293K. A month-by-month checklist is both the self-check and the save-worthy reference that drove it.,Evergreen,1
K014,02. Is YOUR Baby Developing Normally?,Milestones for toddlers (1-3 years),Discovery,Fear,Sharing,Checklist,"Is YOUR Toddler Behind? What 1, 2 and 3-Year-Olds Should Be Doing","Toddler development worries (talking, walking, listening) are a major search category as parents move past the newborn phase and start comparing at playgroups and family gatherings.","Your 293K developing-normally reel is the template; this just moves it to an older age band. Every parent self-checks against the list, which is exactly what powered the original.",Evergreen,2
K015,02. Is YOUR Baby Developing Normally?,Speech delay: when to worry,Discovery,Fear,Anxiety,Fear Hook + Q&A,Is YOUR Child Talking Late? When It's Normal and When It's Not,"Speech delay is one of the fastest-rising parental concerns, partly linked to screen exposure, and 'my child is not talking' searches have grown steadily. Indian families often hear conflicting advice from elders.",Your 293K developing-normally reel shows a developmental fear answered with reassurance is your most reliable arc. Clear 'normal versus see-a-specialist' guidance gives the save reason that reel relied on.,Evergreen,2
K016,02. Is YOUR Baby Developing Normally?,Late walking and weak legs,Discovery,Fear,Anxiety,Fear Hook + Q&A,Is It Normal That YOUR Baby Isn't Walking Yet? Doctor Explains,"Walking is the milestone families watch most visibly, and grandparents apply heavy pressure if a baby is 'late', generating constant searches about normal ranges.","Your 293K developing-normally reel proves milestone fear plus reassurance works, and your Superstition reel (58.1K) shows family-debate topics drive comments - late walking sits on both.",Evergreen,3
K017,02. Is YOUR Baby Developing Normally?,Tummy time and why it matters,Discovery,Joy,Sharing,Myth-Buster + Instructive,The 5-Minute Daily Habit That Builds YOUR Baby's Strength,"Tummy time is widely recommended internationally but underused in India, and search interest has grown as parents learn it helps neck strength and prevents flat head.","Your Peekaboo reel is your all-time best at 299K with a 2.02% save rate, proving joyful 'you are doing it right' content beats fear for sharing. A simple do-this habit taps that exact validation lever.",Evergreen,2
K018,02. Is YOUR Baby Developing Normally?,Why peekaboo and play build the brain,Discovery,Joy,Sharing,Myth-Buster + Instructive,Why Peekaboo Is Secretly Building YOUR Baby's Brain,"Play-and-brain-development content performs strongly across platforms as parents look for simple, screen-free ways to help their child learn.","This is literally your best-performing theme - your Peekaboo reel hit 299K and 6,054 saves on joy and validation. It is your clearest proof that positive, shareable content grows the channel faster than fear.",Evergreen,1
K019,02. Is YOUR Baby Developing Normally?,Crawling: is skipping it a problem,Discovery,Curiosity,Anxiety,Q&A,Does It Matter If YOUR Baby Never Crawled? The Truth,"Parents whose babies go straight to walking often worry they missed a vital stage, a recurring and reassurance-seeking search.","Your Peekaboo reel (299K, top save rate) shows relief-and-validation content spreads; a reassuring 'skipping crawling is fine' answer uses that calmer lever to vary your fear-heavy feed.",Evergreen,3
K020,02. Is YOUR Baby Developing Normally?,Hand preference and fine motor skills,Authority,Curiosity,Sharing,Q&A + Checklist,When Will YOU Know If YOUR Child Is Left or Right Handed?,"Fine-motor and handedness questions rise as toddlers start scribbling and feeding themselves, a steady curiosity-driven search.",Your Breastmilk Bath reel (57.4K) shows light curiosity content performs. A quick 'when will you know' explainer keeps you the go-to source for everyday developmental questions.,Evergreen,3
K021,02. Is YOUR Baby Developing Normally?,Signs of autism parents miss early,Discovery,Fear,Anxiety,Fear Hook + Checklist,5 Early Signs of Autism Most Parents Notice Too Late,"Autism awareness and early-signs searches have risen sharply worldwide, and early intervention is increasingly understood to change outcomes, making this a high-intent topic.","Your 293K developing-normally reel proves a high-stakes, low-awareness checklist is your strongest pattern. Handle this with a reassuring close so it informs rather than frightens, matching your fear-to-reassurance structure.",Evergreen,2
K022,02. Is YOUR Baby Developing Normally?,Screen time damage under age 2,Authority,Fear,Sharing,Counter-Intuitive + Safe or Not,Why YOUR Baby Should See ZERO Screens Before Age 2,"Screen exposure in babies has exploded since the pandemic and is now linked in parents' minds to speech delay; health bodies advise no screens under two, fuelling guilt-driven searches.","Your Superstition reel (58.1K, 998 saves) earned your top comment ratio by challenging a common practice - taking a firm stand on screens creates the same debate and a share-as-warning push.",Evergreen,2
K023,03. Safe or Not: Indian Practices & Myths,Cow or buffalo milk before age 1,Authority,Shock,Sharing,Safe or Not,Cow Milk for Babies Under 1 - Safe or Not? Doctor Explains,"Giving animal milk to young infants is near-universal in Indian homes, and there is a live disagreement between elders and new parents over when it is safe to start.",This IS your proven Authority winner - your Cow Milk 'Safe or Not?' reel reached 94.4K. Cultural-practice verdicts give you your highest comment ratio by pitting elders against new parents.,Evergreen,1
K024,03. Safe or Not: Indian Practices & Myths,Kajal or surma in baby's eyes,Authority,Shock,Sharing,Safe or Not + Myth-Buster,Putting Kajal in YOUR Baby's Eyes - Safe or Not?,"Applying kajal to ward off the evil eye and 'enlarge' the eyes is deeply embedded across India, while the lead-contamination risk is almost unknown to most families.",Your Superstition reel hit 58.1K and your best comment ratio because rituals trigger live debate. Kajal carries that plus a lead-poisoning angle parents never knew - your unknown-danger lever.,Evergreen,1
K025,03. Safe or Not: Indian Practices & Myths,"Honey, ghutti or janam-ghutti for newborns",Authority,Fear,Sharing,Safe or Not + Counter-Intuitive,NEVER Give Honey to a Baby Under 1 - Here's the Real Reason,"Honey and traditional ghutti mixtures are common first foods given to newborns in many Indian families, yet the risk of infant botulism is virtually unheard of among parents.",Your Cow Milk 'Safe or Not?' reel (94.4K) shows a clear verdict on a feeding habit works. A blunt 'never' with a named risk like botulism makes it a forwardable warning.,Evergreen,2
K026,03. Safe or Not: Indian Practices & Myths,Oil massage and morning sun (malish),Authority,Curiosity,Sharing,Safe or Not,Baby Oil Massage in the Sun - Safe or Not? Doctor's Verdict,"Daily oil massage followed by morning sun is a near-ritual in Indian homes, often done for vitamin D and jaundice, and parents are unsure how much is actually evidence-based.",Your Cow Milk reel (94.4K) proves the respect-the-tradition-then-give-the-verdict structure works. Validating the safe part of massage while flagging the risk builds the same balanced trust.,Evergreen,2
K027,03. Safe or Not: Indian Practices & Myths,Bottle feeding mistakes,Discovery,Shock,Anxiety,Counter-Intuitive,Are You Bottle Feeding YOUR Baby WRONG? Doctor Explains,"Sterilising, propping the bottle and the right position are high-volume new-parent searches, and many parents quietly fear they are doing it wrong.",Your Bottle Feeding reel already has a working Hinglish hook ('bottle feed toh karna hi nahi chahiye') buried inside it at 16K - moving that line to the front is the packaging fix your own analysis estimates lifts it to 150-200K.,Evergreen,2
K028,03. Safe or Not: Indian Practices & Myths,Shaving the head for thicker hair (mundan),Authority,Shock,Sharing,Myth-Buster,Does Shaving YOUR Baby's Head Grow Thicker Hair? The Truth,"The mundan ceremony and the belief that shaving thickens hair is widespread, making it a familiar myth nearly every Indian parent has heard.","Your Superstition reel (58.1K) shows myth-busting a cultural belief drives comments and shares - the mundan hair myth is the same low-controversy, high-recognition territory.",Evergreen,3
K029,03. Safe or Not: Indian Practices & Myths,"Pre-lacteal feeds (water, sugar water, jaggery)",Authority,Concerned,Sharing,Safe or Not + Counter-Intuitive,Should YOU Give a Newborn Water or Sugar Water? Doctor Answers,"Giving newborns water, sugar water or jaggery before breastfeeding is a common traditional practice, but it can interfere with feeding and introduce infection.",Your Cow Milk verdict (94.4K) and Superstition debate (58.1K) both prove elders-insist topics spark household argument. A clear answer on pre-lacteal feeds gives parents ammunition to win it.,Evergreen,2
K030,03. Safe or Not: Indian Practices & Myths,Tight swaddling and leg straightening,Authority,Concerned,Sharing,Safe or Not + Myth-Buster,Does Tight Wrapping Make YOUR Baby's Legs Straight? Myth Busted,"Wrapping babies tightly to 'straighten the legs' is a persistent belief in many Indian homes, while tight hip swaddling actually risks hip problems.","Your Superstition reel (58.1K, top comment ratio) shows a cultural myth plus a hidden risk is your strongest Authority recipe - tight swaddling and hip risk fits it exactly.",Evergreen,3
K031,03. Safe or Not: Indian Practices & Myths,Gripe water and colic drops,Authority,Curiosity,Anxiety,Safe or Not,Is Gripe Water Actually Safe for YOUR Baby? Doctor's Honest Take,"Gripe water is a default colic remedy in Indian households and a heavily searched product, yet parents rarely know what is in it or whether it works.","Your Cow Milk 'Safe or Not?' reel (94.4K) is the model: a product-category verdict without naming a brand. Colic is universal, so the answer gets saved by exhausted parents.",Evergreen,2
K032,03. Safe or Not: Indian Practices & Myths,Teething: blaming fever and diarrhoea on teeth,Authority,Concerned,Sharing,Myth-Buster,Is Teething Really Causing YOUR Baby's Fever? The Truth,"Blaming every fever, cold and loose motion on teething is extremely common and can dangerously delay treatment of a real infection.",Your Superstition reel (58.1K) proves busting a myth that hides real danger is your signature value. Blaming everything on teething is exactly that kind of risky belief to reframe.,Evergreen,2
K033,03. Safe or Not: Indian Practices & Myths,Forcing food and overfeeding for a 'healthy' look,Authority,Shock,Sharing,Myth-Buster + Counter-Intuitive,Why a 'Chubby' Baby Isn't Always a Healthy Baby,"In India a plump baby is culturally seen as healthy, leading to pressure to overfeed; obesity and force-feeding concerns are a growing topic.",Your Superstition reel (58.1K) earned your highest comment ratio by challenging an accepted norm - a counter-intuitive 'chubby is not always healthy' claim provokes the same debate.,Evergreen,3
K034,03. Safe or Not: Indian Practices & Myths,Home remedies versus seeing a doctor,Authority,Concerned,Sharing,Safe or Not,Which Indian Home Remedies for Babies Actually Work?,"Indian families lean heavily on home remedies (ajwain, hing, kadha) for baby ailments, and parents search to know which are harmless and which are risky.","Your Cow Milk verdict reel (94.4K) shows a balanced 'this helps, this is risky' ruling respects tradition while guiding safely, and gets forwarded to settle family disagreements.",Evergreen,2
K035,03. Safe or Not: Indian Practices & Myths,"Cold weather, AC and 'catching cold'",Authority,Curiosity,Sharing,Myth-Buster,Does AC or Cold Air Really Give YOUR Baby a Cold? Doctor Explains,"The belief that cold air or fans cause colds is widespread, and parents worry about using AC around newborns, especially in hot Indian summers.","Your Superstition reel (58.1K) shows everyday myth-busts resonate. The cold-air-causes-colds belief is a light, reassuring version that widens reach without heavy fear.",Evergreen,3
K036,03. Safe or Not: Indian Practices & Myths,"Black thread, amulets and 'nazar' protection",Authority,Curiosity,Sharing,Safe or Not + Myth-Buster,Black Thread to Protect YOUR Baby - Harmless or Risky?,Tying black threads and amulets on babies for protection is near-universal in India; the strangulation and choking risk is rarely considered.,"Your Superstition reel (58.1K, 998 saves) proves a respectful look at a ritual plus a hidden hazard works - black-thread strangulation risk hits both that cultural and unknown-danger lever.",Evergreen,3
K037,04. Breastfeeding & Lactation,Is my milk enough? low supply fears,Authority,Fear,Anxiety,Myth-Buster + Reassuring,Is YOUR Milk Really 'Not Enough'? The Truth Most Moms Never Hear,"Low-supply anxiety is one of the most emotionally charged searches new mothers make, heavily worsened in India by family comments and pressure to add formula.","Your Peekaboo reel earned a 2.02% save rate (your best) because relief-and-validation gets saved and shared most. A 'you are likely fine' message to an anxious mum taps that exact lever, timed to Breastfeeding Week.",August (WBW),1
K038,04. Breastfeeding & Lactation,Correct latch and positions,Authority,Curiosity,Sharing,Instructive + Checklist,The Right Latch Could End YOUR Breastfeeding Pain Today,Painful feeding and latch problems are top early searches and a leading reason mothers stop breastfeeding; demand peaks around World Breastfeeding Week in August.,"Your Breastmilk Bath reel (57.4K) shows real, hands-on footage performs. A latch demonstration is the same high-trust teaching style, and solving real pain drives saves.",August (WBW),2
K039,04. Breastfeeding & Lactation,Foods that affect breast milk,Authority,Curiosity,Sharing,Myth-Buster + Q&A,Do These Foods Really Boost YOUR Breast Milk? Doctor Separates Fact From Myth,"Indian families have strong beliefs about lactation foods (ajwain, methi, special laddoos), and 'foods to increase breast milk' is a very high-volume search.","Your Superstition reel (58.1K) proves cultural-belief-versus-evidence sparks debate - lactation-food myths (methi, laddoos) are the breastfeeding version of that comment engine.",August (WBW),2
K040,04. Breastfeeding & Lactation,Breastfeeding while sick or on medicines,Authority,Concerned,Anxiety,Safe or Not,Can YOU Breastfeed When You're Sick or Taking Medicine?,"Mothers often stop feeding when they catch a cold or need medication out of fear of harming the baby, a common and anxious search.","Your Breech Baby reel (175K, 0.75% save rate) shows fear-plus-a-clear-answer gets saved. Relieving the 'can I feed while sick' worry earns the same anxiety save.",August (WBW),2
K041,04. Breastfeeding & Lactation,Pumping and storing breast milk,Authority,Curiosity,Sharing,Instructive + Checklist,How to Store YOUR Breast Milk Safely - The Numbers to Remember,"As more Indian mothers return to work, pumping and safe storage searches are rising fast; this aligns with the 2026 breastfeeding-week focus on supporting working mothers.","Your Baby Poop Colour reel kept a 0.62% save rate even at low views, proving rule-based reference content gets saved. Milk-storage numbers are pure save-worthy reference for working mothers.",August (WBW),2
K042,04. Breastfeeding & Lactation,Formula feeding without guilt,Authority,Concerned,Sharing,Myth-Buster + Reassuring,Is Formula Really 'Bad' for YOUR Baby? An Honest Doctor's View,"Formula-feeding guilt is intense and widely searched, fed by online shaming; parents look for balanced medical guidance.","Your Peekaboo reel (299K, top save rate) shows non-judgemental validation spreads. A guilt-free formula message earns the same gratitude-driven shares and avoids alienating parents.",August (WBW),3
K043,04. Breastfeeding & Lactation,Breastfeeding in public and on the go,Community,Joy,Sharing,Q&A + Reassuring,Breastfeeding in Public - YOUR Rights and Simple Tips,"Public breastfeeding stigma is a core theme of World Breastfeeding Week, and supportive, practical content resonates strongly during August.","Your Peekaboo reel (299K, 6,054 saves) proves joyful, empowering content is your most forwarded. A supportive public-feeding message rides that during Breastfeeding Week.",August (WBW),3
K044,04. Breastfeeding & Lactation,"Cracked nipples, engorgement and mastitis",Authority,Fear,Anxiety,Fear Hook + Instructive,"Painful, Hard or Red Breast? Here's What YOUR Body Is Telling You","Engorgement, blocked ducts and mastitis cause real pain and panic for new mothers and are heavily searched in the early weeks.","Your Breech Baby reel (175K, 1,313 saves) shows a real fear with a clear action plan gets saved. Painful-breast relief is the same fear-to-fix structure.",August (WBW),2
K045,04. Breastfeeding & Lactation,When and how to wean off breastfeeding,Authority,Curiosity,Sharing,Q&A + Instructive,When Should YOU Stop Breastfeeding? Doctor's Guidance,"Weaning timing is a common decision point, with conflicting family advice about feeding past one or two years in India.",Your Cow Milk verdict reel (94.4K) shows a clear ruling on a contested family question gets forwarded. When-to-wean is exactly that kind of debate to settle.,August (WBW),3
K046,04. Breastfeeding & Lactation,Breastfeeding a premature or NICU baby,Community,Fear,Anxiety,Instructive + Reassuring,How to Breastfeed YOUR Premature Baby - A Neonatologist's Guide,"Mothers of preemies face unique feeding hurdles (weak suck, tube feeding, supply while pumping) and search for specialist guidance rarely covered by general accounts.","Your 293K developing-normally reel proves fear-plus-reassurance works; here it serves a specific, loyal preemie-parent audience your NICU background lets you own when general accounts cannot.",August (WBW),2
K047,05. Starting Solids & Toddler Nutrition,First foods at 6 months,Discovery,Curiosity,Sharing,Checklist + Instructive,The First Foods YOUR Baby Should (and Shouldn't) Eat at 6 Months,"'Baby first foods' and weaning charts are top-volume evergreen searches; Indian parents specifically look up when to start ragi, dal water and khichdi.","Your Baby Poop Colour reel held a 0.62% save rate as pure reference content - a first-foods chart is the same save-worthy format, with Indian foods adding cultural relevance.",Evergreen,2
K048,05. Starting Solids & Toddler Nutrition,Foods to avoid in the first year,Authority,Fear,Anxiety,Fear Hook + Checklist,Foods That Could Harm YOUR Baby in the First Year,"Parents actively search which foods are unsafe for infants (honey, salt, whole nuts, cow milk), often after conflicting family advice.","Your 293K developing-normally reel shows a fear-based checklist gets saved, and naming foods parents did not know were unsafe uses your unknown-danger lever.",Evergreen,2
K049,05. Starting Solids & Toddler Nutrition,Choking hazards and safe food sizes,Discovery,Fear,Anxiety,Fear Hook + Instructive,Is YOUR Baby's Food a Choking Hazard? Cut It Like This,"Choking is a top fear once solids begin, and 'how to prevent baby choking' is a high-intent safety search.","Your 293K developing-normally reel proves universal fear plus a clear action performs. A choking demonstration on real food is the high-trust, save-worthy version of that.",Evergreen,2
K050,05. Starting Solids & Toddler Nutrition,Picky eaters and food refusal,Discovery,Fear,Sharing,Q&A + Instructive,Why Won't YOUR Toddler Eat? What Actually Works,'Toddler not eating' is a perennial high-frustration search affecting nearly every family of a one-to-four-year-old.,"Your 293K developing-normally reel works because every parent self-relates - picky eating is the same near-universal frustration, framed as the question every family asks.",Evergreen,2
K051,05. Starting Solids & Toddler Nutrition,Iron and the hidden anaemia problem,Authority,Concerned,Anxiety,Fear Hook + Informative,Is YOUR Baby Quietly Iron Deficient? The Signs to Watch,"Iron-deficiency anaemia is very common in Indian infants and often invisible, and awareness is growing among health-conscious parents.","Your 293K developing-normally reel shows a hidden, fixable problem with a sign-list gets saved. Quiet iron deficiency is exactly that unknown-but-common danger.",Evergreen,3
K052,05. Starting Solids & Toddler Nutrition,"Sugar, salt and packaged baby snacks",Authority,Shock,Sharing,Counter-Intuitive + Safe or Not,The 'Healthy' Baby Snacks That Are Secretly Loaded With Sugar,"Packaged baby foods and biscuits marketed as healthy are heavily bought in India, and label-awareness searches are rising among urban parents.",Your Superstition reel (58.1K) earned your top comment ratio by exposing something surprising - a 'healthy snacks are secretly sugar' reveal sparks the same outrage-driven shares.,Evergreen,3
K053,05. Starting Solids & Toddler Nutrition,Cow milk versus toddler formula after 1,Authority,Curiosity,Sharing,Safe or Not,"After Age 1, What Milk Is Best for YOUR Child?","Once a child turns one, parents are confused between cow milk, toddler formula and plant milks, a common and commercially-pushed decision.","Your Cow Milk 'Safe or Not?' reel (94.4K) is the model for a verdict on a confusing, marketed milk choice after age one.",Evergreen,3
K054,05. Starting Solids & Toddler Nutrition,Vitamin D and the rickets risk,Authority,Concerned,Anxiety,Informative + Instructive,Why Almost Every Indian Baby Needs Vitamin D Drops,"Vitamin D deficiency is strikingly common in Indian children despite the sunshine, and pediatric supplementation guidance is increasingly searched.","Your 293K developing-normally reel shows a surprising, widely-applicable fact gives universal relevance - 'almost every Indian baby needs vitamin D' plus a simple action mirrors that.",Evergreen,3
K055,06. Newborn First 40 Days,Newborn jaundice: when to worry,Discovery,Fear,Anxiety,Fear Hook + Checklist,Is YOUR Newborn's Yellow Skin Dangerous? The 5-Day Rule,Newborn jaundice is extremely common and a top early search; many Indian families treat it with sunlight alone and miss the danger thresholds.,"Your 293K developing-normally reel proves a visible sign plus a self-check gets saved, and jaundice sits squarely in your neonatologist wheelhouse to reinforce authority.",Evergreen,2
K056,06. Newborn First 40 Days,Umbilical cord care,Authority,Curiosity,Anxiety,Instructive + Myth-Buster,Stop Putting THIS on YOUR Newborn's Cord - Do This Instead,"Cord care is a top first-month search, and Indian homes still apply powders, oils or ash, which raises infection risk.","Your Cow Milk 'Safe or Not?' reel (94.4K) shows a 'stop doing this, do that instead' correction works - cord care with a hands-on demo is the same high-trust fix.",Evergreen,3
K057,06. Newborn First 40 Days,Decoding baby cries and colic,Discovery,Curiosity,Sharing,Q&A + Checklist,What Is YOUR Baby's Cry REALLY Saying? Doctor Decodes 4 Types,'Why is my baby crying' and colic are top exhausted-parent searches with intense desperation-driven engagement.,Your Breastmilk Bath reel (57.4K) shows curiosity content performs; a 'decode the cry' list adds the relief lever that makes exhausted parents save and share.,Evergreen,2
K058,06. Newborn First 40 Days,Newborn weight loss in the first week,Authority,Fear,Anxiety,Fear Hook + Reassuring,Is It Normal That YOUR Newborn Is Losing Weight?,"Early weight loss alarms new parents who do not know it is expected, prompting anxious searches and unnecessary formula top-ups.","Your Breech Baby reel (175K, 0.75% save) shows a real fear answered with reassurance gets saved - early weight loss is the same normal-versus-worry relief.",Evergreen,3
K059,06. Newborn First 40 Days,How often newborns should poop and pee,Authority,Curiosity,Anxiety,Q&A + Checklist,How Many Wet Nappies Should YOUR Newborn Have? The Daily Count,Output counts are a constant first-month worry and a way parents check feeding is going well; heavily searched.,"Your actual Baby Poop Colour reel held a 0.62% save rate as reference content - a daily wet-nappy count is the same save-worthy self-check, repackaged with a stronger hook.",Evergreen,3
K060,06. Newborn First 40 Days,"Newborn skin: peeling, spots and birthmarks",Authority,Curiosity,Sharing,Q&A + Reassuring,Those Spots on YOUR Newborn - Normal or Not?,"New parents are alarmed by normal newborn skin changes (peeling, milia, rashes, Mongolian spots) and search to identify them.",Your Breastmilk Bath reel (57.4K) shows real-baby curiosity content works; identifying normal newborn skin spots reassures and gets shared as helpful.,Evergreen,3
K061,06. Newborn First 40 Days,Safe bathing and vernix,Authority,Concerned,Sharing,Myth-Buster + Instructive,How Often Should YOU Really Bathe a Newborn?,"Indian families often bathe newborns daily and vigorously; guidance now favours fewer, gentler baths, creating a knowledge gap parents search to fill.",Your Breastmilk Bath reel reached 57.4K on real bath footage of an Indian baby - a how-often-to-bathe correction built on the same real-footage style fits perfectly.,Evergreen,3
K062,06. Newborn First 40 Days,The 40-day confinement period (jaapa),Community,Curiosity,Sharing,Q&A + Myth-Buster,The First 40 Days: What Indian Traditions Get Right and Wrong,"The post-birth confinement period is a strong cultural touchstone in India, and parents search what to keep and what to skip from these traditions.","Your Superstition reel (58.1K, top comment ratio) shows tradition-versus-evidence drives debate - the 40-day confinement period is exactly that kind of cultural touchstone.",Evergreen,3
